ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra
OLI,1,-22.3,37.6,M,R,334.9363,652.3119,781.3696,1044.791
OLI,2,-18.3,41.6,M,R,337.8564,608.9645,763.6965,1074.535
OLI,3,-14.8,45.1,M,R,323.5989,630.54,833.3857,1121.5
OLI,4,-12,47.9,M,R,331.1957,628.4562,782.3274,1061.896
OLI,5,-8.8,51.1,M,R,337.6539,625.6757,814.334,1077.238
OLI,6,-5.8,54.1,M,R,330.1534,617.7516,735.5304,1072.457
OLI,7,-2.5,57.4,M,R,338.6128,606.5724,786.4639,1092.858
OLI,8,0.5,60.4,M,R,332.2845,571.9772,742.3749,1054.055
OLI,9,4.6,64.5,M,R,341.2642,624.8323,780.0991,1117.434
OLI,10,6.7,66.6,M,R,321.5793,558.3092,730.7814,1061.072
OLI,11,10.1,70,M,R,332.8089,567.3617,714.2313,1068.65
PIC,1,-43.1,35.5,M,L,327.93,658.768,789.0732,1027.76
PIC,2,-39.2,39.5,M,L,329.95,653.3264,800.2687,1056.228
PIC,3,-35.7,43,M,L,317.862,632.4481,828.9878,1092.667
PIC,4,-32.8,45.8,M,L,327.7961,688.3243,850.9482,1082.935
PIC,5,-29.6,49.1,M,L,316.7552,641.7075,812.1785,1135.951
PIC,6,-26.5,52.1,M,L,321.231,645.6414,806.1586,1108.366
PIC,7,-23.3,55.3,M,L,336.5276,677.5475,864.3364,1101.187
PIC,8,-20.3,58.3,M,L,326.9169,663.6569,868.6719,1095.26
PIC,9,-15.9,62.8,M,L,331.1049,688.938,873.4833,1102.675
PIC,10,-14.1,64.5,M,L,324.0288,694.7579,894.6579,1087.743
PIC,11,-10.7,67.9,M,L,320.77,611.873,761.6955,1078.388
QUA,1,-19.7,37.6,M,R,288.914,612.9539,684.9389,926.2842
QUA,2,-15.7,41.6,M,R,284.9894,571.9972,699.7169,954.7429
QUA,3,-12.2,45.1,M,R,279.3669,577.765,747.9336,1012.435
QUA,4,-9.3,47.9,M,R,305.5864,638.855,751.0381,971.2474
QUA,5,-6.1,51.2,M,R,305.0428,641.3161,740.1219,971.7388
QUA,6,-3.2,54.1,M,R,286.0721,587.0771,749.4295,1013.957
QUA,7,0.1,57.4,M,R,290.3863,608.6379,755.6239,996.4838
ROS,1,-29.4,37.6,M,L,342.5998,700.8263,911.1757,1151.549
ROS,2,-25.4,41.6,M,L,314.3047,703.3564,893.7576,1165.213
ROS,3,-21.9,45.1,M,L,348.2115,741.9059,965.7646,1176.693
ROS,4,-19.1,47.9,M,L,331.6233,702.9721,898.3784,1173.122
ROS,5,-15.8,51.2,M,L,349.9304,711.2127,925.9164,1196.033
ROS,6,-12.7,54.2,M,L,349.5033,713.8931,962.6338,1269.271
ROS,7,-9.5,57.4,M,L,352.2886,685.3369,867.7725,1191.042
ROS,8,-6.6,60.4,M,L,354.5484,709.1472,915.7479,1169.524
ROS,9,-2.5,64.5,M,L,352.8833,665.062,961.9076,1227.22
ROS,10,-0.4,66.6,M,L,362.3519,707.7842,928.1169,1216.085
ROS,11,3,70,M,L,351.7553,644.9588,931.9056,1190.528
SON,1,-22.3,33.2,M,R,321.7072,625.7885,809.1478,1017.343
SON,2,-18.3,37.1,M,R,309.6006,602.8946,844.4984,1005.261
SON,3,-14.8,40.7,M,R,321.8244,621.7728,860.2758,1019.137
SON,4,-12,43.5,M,R,335.0012,616.1172,858.9866,1035.602
SON,5,-8.8,46.7,M,R,329.9277,641.7419,882.8671,1048.467
SON,6,-5.6,49.8,M,R,309.6592,596.8191,831.3397,1036.867
SON,7,-2.5,53,M,R,298.4659,574.3387,808.5522,1004.963
SON,8,0.5,56,M,R,315.9288,644.5994,828.3417,1025.29
SON,9,3.5,59,M,R,315.6063,590.5097,817.4837,1018.937
SON,10,6.7,62.2,M,R,316.6848,599.0446,816.5679,1036.798
SON,11,10.1,65.6,M,R,301.6263,580.7691,755.2158,953.6163
TRI,1,-19.7,30.8,F,L,374.348,691.7989,819.7504,1105.392
TRI,2,-15.7,34.8,F,L,365.7545,625.9454,825.7552,1131.981
TRI,3,-12.2,38.3,F,L,358.2798,646.7907,821.6614,1153.634
TRI,4,-9.3,41.2,F,L,354.9966,658.8656,887.4954,1153.47
TRI,5,-6.1,44.4,F,L,348.1172,672.9803,811.2119,1102.038
TRI,6,-3.2,47.3,F,L,350.4095,622.9764,827.5461,1161.446
